start season,Sector,Square,Burrow Code,Type CODE,Unique Code,Latitude (N),Longitude (E),occ/sp2011,S/sp2011,occ/su2011,S/su2011,occ/au2011,S/au2011,occ/sp2012,S/sp2012,occ/su2012,S/su2012,occ/au2012,S/au2012,occ/sp2013,Alt(m),tree,bsland_OK,bscode_corrected,bscode_simple,bsland1_OK,bscode1_OK,Bscharact_all,Remark
sp2011,9123,RS5,16,B,9123sq5B16,45.5664660316,75.3161106259,4,254.4690049408,4,176.7145867644,4,204.2035224834,4,412.3340357837,4,226.9800692219,4,263.8937829016,4,353,1,sand/dune,12HS,7sand,DE,17,17DE,
sp2011,9123,RS5,15,B,9123sq5B15,45.5668332428,75.316207353,4,569.4136684632,no data,no data,4,207.3451151369,4,172.7875959475,4,241.9026343264,4,282.7433388231,4,360,1,sand/dune,12HS,7sand,DE,17,17DE,both sides of dune; Meriones
sp2011,9123,RS1,23,B,9123sq1B23,45.5197080038,75.2992890682,4,452.389342117,4,226.9800692219,3,307.8760800518,2,254.4690049408,4,318.086256176,4,318.086256176,4,355,1,sand/dune,12HS,7sand,DEF,17,17DEF,
sp2011,10512,RS2,21,B,10512sq2B21,45.2781976294,76.1851396412,3,254.4690049408,3,153.9380400259,4,314.159265359,2,132.7322896142,2,132.7322896142,3,226.9800692219,2,371,1,sand/dune,12HS,7sand,E,17,17E,Meriones
sp2011,10512,RS2,38,B,10512sq2B38,45.2785592247,76.1852727458,3,129.5906969606,1,63.6172512352,0,0,0,0,0,0,0,0,1,373,0,sand/dune,12HS,7sand,E,17,17E,sand;disappeared satellite
sp2011,10512,RS2,39,B,10512sq2B39,45.2779809572,76.1856552958,3,226.9800692219,4,153.9380400259,2,176.7145867644,2,153.9380400259,0,153.9380400259,0,0,1,371,0,sand/dune,12HS,7sand,E,17,17E,"added in Sep10, bs 39;changed from bs 35 to bs 39; Meriones-sand/dune; disappeared"
sp2011,10531,RS19,10,B,10531sq19B10,45.0999375992,76.0456689633,4,494.8008429404,4,306.305283725,4,494.8008429404,4,371.493331287,4,213.6283004441,3,226.1946710585,2,379,1,sand/dune,12HS,7sand,E,17,17E,
sp2011,9123,RS1,9,B,9123sq1B9,45.5191496015,75.2982181124,3,346.3605900583,3,no data,4,314.159265359,4,226.9800692219,3,226.9800692219,4,113.0973355292,4,351,0,sand/dune,12HS,7sand,E,17,17E,
sp2011,9123,RS1,3,B,9123sq1B3,45.5191691313,75.2973771561,3,530.9291584567,3,95.0331777711,4,252.898208614,2,176.7145867644,4,113.0973355292,3,153.9380400259,3,352,0,sand/dune,12HS,7sand,E,17,17E,Meriones
sp2011,9123,RS5,11,B,9123sq5B11,45.5660500377,75.3176461905,4,176.7145867644,3,132.7322896142,3,63.6172512352,2,173.5729941108,2,0,0,0,4,358,1,sand/dune,12HS,7sand,E,17,17E,sand ; Meriones
sp2011,9123,RS5,14,B,9123sq5B14,45.5664333422,75.3170806635,4,212.0575041173,4,197.9203371762,4,254.4690049408,4,163.3628179867,4,326.7256359734,4,275.6747553525,2,358,1,sand/dune,12HS,7sand,E,17,17E,Orient.- 215°; sand - Meriones
sp2011,10512,RS2,5,B,10512sq2B5,45.2795564197,76.1839122791,4,706.8583470578,2,431.9689898686,2,268.6061718819,3,274.8893571891,no data,0,0,0,1,372,1,sand/dune,12HS,7sand,EF,17,17EF,"sand dune; Orient.- 30°  this one burrow; Meriones, disappeared"
sp2011,9123,RS1,4,B,9123sq1B4,45.5184432585,75.2976339776,4,530.9291584567,4,251.3274122872,no data,no data,2,520.7189823325,2,283.5287369865,2,226.9800692219,4,352,0,sand/dune,12HS,7sand,EF,17,17EF,Orient.- 80°; Meriones
sp2011,9123,RS5,2,B,9123sq5B2,45.5653133523,75.3179014195,4,216.7698930977,4,301.5928947446,4,412.3340357837,4,480.6636759993,4,283.5287369865,4,490.8738521234,4,357,1,sand/dune,12HS,7sand,EF,17,17EF,Orient.- 10°; Meriones
sp2011,9123,RS5,8,B,9123sq5B8,45.56582666,75.3173085675,4,360.4977569995,3,176.7145867644,4,320.4424506662,4,197.9203371762,4,400.5530633327,3,226.9800692219,3,356,1,sand/dune,12HS,7sand,EF,17,17EF,sand ; Meriones
sp2011,9123,RS5,17,B,9123sq5B17,45.5661931168,75.315515846,3,201.0619298298,2,208.9159114637,4,219.9114857513,no data,0,4,226.9800692219,3,95.0331777711,4,352,1,sand/dune,12HS,7sand,EF,17,17EF,Orient.- 320°; Meriones
sp2011,10512,RS2,37,B,10512sq2B37,45.279372856,76.1843096651,2,120.9513171632,1,78.5398163398,2,69.115038379,0,0,0,0,0,0,1,372,0,sand/dune,12HS,7sand,F,17,17F,"added in Sep2010 dataset, changed to burrow 37;Entrances (holes) of a burrow system disappeared; dissapeared"
su2011,7934,RS11,19,B,7934sq11B19,45.68592,75.17067,no data,no data,4,346.3605900583,4,132.7322896142,4,380.1327110844,4,132.7322896142,4,132.7322896142,3,342,1,sand/dune,12HS,7sand,F,17,17F,sand ; Meriones
sp2011,10512,RS2,17,B,10512sq2B17,45.2794532385,76.1856646836,3,283.5287369865,2,283.5287369865,2,226.9800692219,3,153.9380400259,1,50.2654824574,3,132.7322896142,4,369,0,sand/dune,12LS,6sand,CD,18,18CD,Sand ; Meriones
sp2011,10512,RS3,2,B,10512sq3B2,45.3043158911,76.199379405,2,113.0973355292,1,122.52211349,2,282.7433388231,0,0,0,0,0,0,1,375,0,sand/dune,12LS,6sand,CD,18,18CD,"Disappeared, only light spot;riverbed; sand dune; Meriones"
sp2011,10512,RS3,3,B,10512sq3B3,45.3044318967,76.1989476532,4,706.8583470578,1,346.3605900583,4,530.1437602933,2,380.1327110844,4,314.159265359,3,490.8738521234,4,374,0,sand/dune,12LS,6sand,CD,18,18CD,Entrances (holes) of a burrow system disappeared; sand
sp2011,10512,RS3,6,B,10512sq3B6,45.3040562198,76.1977710016,2,173.5729941108,4,132.7322896142,3,183.783170235,4,604.7565858161,4,314.159265359,4,176.7145867644,4,376,0,sand/dune,12LS,6sand,CD,18,18CD,changed from bs6 to bs19; sand dune
sp2011,10512,RS6,26,B,10512sq6B26,45.3059404716,76.1579966918,4,254.4690049408,4,153.9380400259,4,379.347312921,4,660.5198554173,4,346.3605900583,no data,no data,4,374,1,sand/dune,12LS,6sand,CD,18,18CD,outside;2/3 gerbils. Quite a lot of growth on bburrow; sand dune
sp2011,7934,RS5,2,B,7934sq5B2,45.7009358145,75.1373089571,4,307.8760800518,no data,no data,4,254.4690049408,4,754.767635025,4,754.767635025,3,132.7322896142,4,348,0,sand/dune,12HS,7sand,CDE,18,18CDE,sand; Meriones
sp2011,7934,RS5,11,B,7934sq5B11,45.7021497656,75.1384205651,4,201.0619298298,3,113.0973355292,3,153.9380400259,4,132.7322896142,3,132.7322896142,2,226.9800692219,4,349,0,sand/dune,12HS,7sand,CDE,18,18CDE,"Old centre of burrow system, it has moved to satellite; Meriones"
sp2011,10512,RS1,27,B,10512sq1B27,45.2815375663,76.1800682545,2,314.159265359,4,201.0619298298,4,490.8738521234,4,615.7521601036,4,254.4690049408,4,283.5287369865,4,377,0,sand/dune,12HS,7sand,CDE,18,18CDE,sand dune
sp2011,11742,RS7,20,B,11742sqRS7B20,44.7576722223,76.4327943698,2,197.9203371762,2,314.159265359,4,176.7145867644,2,314.159265359,2,283.5287369865,1,176.7145867644,2,403,0,sand/dune,12LS,6sand,D,18,18D,Meriones
sp2011,11742,RS7,21,B,11742sqRS7B21,44.7581504099,76.4331523608,2,293.7389131107,2,254.4690049408,2,176.7145867644,2,153.9380400259,2,254.4690049408,1,201.0619298298,1,401,1,sand/dune,12LS,6sand,D,18,18D,
sp2011,10512,RS3,18,B,10512sq3B18,45.3049388342,76.1982097942,2,346.3605900583,1,113.0973355292,2,367.56634047,2,201.0619298298,0,0,0,0,1,375,0,sand/dune,12LS,6sand,D,18,18D,Sand ; Meriones ; disappeared
sp2011,10512,RS3,9,B,10512sq3B9,45.3052951489,76.1980567407,2,283.5287369865,2,226.9800692219,4,314.159265359,2,153.9380400259,4,153.9380400259,2,176.7145867644,3,375,0,sand/dune,12LS,6sand,D,18,18D,Disappeared; Meriones ; sand
su2011,7934,RS6,6,B,7934sq6B6,45.70472,75.14332,no data,no data,2,113.0973355292,4,219.9114857513,1,201.0619298298,3,226.9800692219,4,415.4756284373,4,353,0,sand/dune,12LS,6sand,D,18,18D,"changed from bs6 to bs7, changed back to bs 6"
sp2011,7934,RS6,12,B,7934sq6B12,45.7052415144,75.1436977275,4,855.2985999399,4,346.3605900583,4,660.5198554173,2,283.5287369865,4,201.0619298298,4,615.7521601036,2,349,0,sand/dune,12LS,6sand,D,18,18D,Meriones
su2011,7934,RS6,14,B,7934sq6B14,45.70562,75.14318,no data,no data,2,201.0619298298,4,201.0619298298,3,132.7322896142,4,226.9800692219,4,254.4690049408,2,358,0,sand/dune,12LS,6sand,D,18,18D,
sp2011,9123,RS2,20,B,9123sq2B20,45.5247862637,75.2937803976,4,572.5552611168,4,346.3605900583,4,452.389342117,4,380.1327110844,4,346.3605900583,4,530.9291584567,3,354,0,sand/dune,12LS,6sand,D,18,18D,
sp2011,9123,RS2,21,B,9123sq2B21,45.5248447694,75.294117853,4,176.7145867644,3,201.0619298298,3,380.1327110844,4,254.4690049408,4,201.0619298298,4,314.159265359,2,355,0,sand/dune,12LS,6sand,D,18,18D,
sp2011,11742,RS7,24,B,11742sqRS7B24,44.7568339482,76.4334849548,2,397.4114706791,3,283.5287369865,4,358.1415625093,2,380.1327110844,2,578.0530482606,3,270.9623663721,2,401,1,sand/dune,12HS,7sand,DE,18,18DE,Meriones
sp2011,11742,RS7,23,B,11742sqRS7B23,44.7571597528,76.43328337,2,362.8539514896,4,283.5287369865,2,208.9159114637,2,176.7145867644,2,226.9800692219,0,0,2,400,1,sand/dune,12HS,7sand,DE,18,18DE,Meriones; disappeared
sp2011,10512,RS2,10,B,10512sq2B10,45.2779101301,76.1838073377,4,259.1813939212,4,172.7875959475,4,285.8849314767,4,408.4070449667,4,614.1813637768,3,234.8340508559,3,367,1,sand/dune,12HS,7sand,DE,18,18DE,sand/dune;Orient.- 320°
sp2011,10512,RS3,17,B,10512sq3B17,45.3047369979,76.1996368971,2,415.4756284373,4,226.9800692219,4,204.2035224834,3,283.5287369865,4,240.3318379996,2,314.159265359,1,375,0,sand/dune,12HS,7sand,DE,18,18DE,riverbed but on dune; too much sand
sp2011,10512,RS6,27,B,10512sq6B27,45.3063023183,76.1582710315,2,169.6460032939,4,201.0619298298,2,109.9557428757,3,235.6194490193,4,226.9800692219,4,201.0619298298,2,373,1,sand/dune,12HS,7sand,DE,18,18DE,sand dune ; Meriones meridianus
sp2011,10512,RS6,28,B,10512sq6B28,45.3071979247,76.1594461743,3,452.389342117,4,346.3605900583,no data,no data,4,254.4690049408,no data,no data,no data,no data,4,374,1,sand/dune,12HS,7sand,DE,18,18DE,Sand dune; Meriones
sp2011,10512,RS6,13,B,10512sq6B13,45.307382578,76.1571678054,2,259.1813939212,4,254.4690049408,3,172.7875959475,2,254.4690049408,0,0,4,179.0707812546,2,372,0,sand/dune,12HS,7sand,DE,18,18DE,Sand ; Meriones; disappeared
sp2011,10512,RS6,3,B,10512sq6B3,45.3078757692,76.1567249894,4,505.796417228,2,530.9291584567,4,251.3274122872,3,132.7322896142,2,132.7322896142,3,132.7322896142,2,371,0,sand/dune,12HS,7sand,DE,18,18DE,on large dune
